Category,Security Profile Statement,Weight,Response,Evidenced?
System,The system is equipped to maximize the duration and viability of essential business functions during adversity (Continue),4,,
System,The system is capable to preclude the successful execution of an attack or the realization of adverse conditions (Prevent/Avoid),4,,
System,The system can restore as much business functionality as possible subsequent to adversity (Reconstitute),4,,
System,The ICS system is segmented from enterprise IT networks,4,,
System,"The ICS system is protected from unauthorized physical access, tampering, and theft",3,,
System,ICS safety functions are integrated with cybersecurity controls,3,,
Technology,All ICS devices and software are maintained with up-to-date security patches,4,,
Technology,Remote access to ICS is controlled and monitored,4,,
Technology,ICS systems use multi-factor authentication for critical operations,3,,
Process,ICS cybersecurity policies and procedures are documented and reviewed annually,4,,
Process,ICS cybersecurity risk assessments are performed at least annually,4,,
Process,Business continuity and disaster recovery plans are established and tested for ICS,3,,
People,ICS operators receive specialised operational security training,4,,
People,The organisation maintains a process to identify and address human factors in ICS security,2,,
People,Management demonstrates commitment to the security program through resource allocation and oversight,3,,
